Name_Projektpartner;Institution
 Arbeitsgemeinschaft Jugendfreizeitstätten Sachsen e. V. (AGJF) ; Arbeitsgemeinschaft Jugendfreizeitstätten Sachsen e. V. (AGJF) 
 Berge&Meer Touristik GmbH; Berge&Meer Touristik GmbH
 Berufsbildungs- und Servicezentrum des Osnabrücker Handwerks GmbH ; Berufsbildungs- und Servicezentrum des Osnabrücker Handwerks GmbH 
 BIBA – Bremer Institut für Produktion und Logistik GmbH ; BIBA – Bremer Institut für Produktion und Logistik GmbH 
 DAW SE ; DAW SE 
 EBS Universität für Wirtschaft und Recht gGmbH ; EBS Universität für Wirtschaft und Recht gGmbH 
 Fachhochschule Lübeck ; Fachhochschule Lübeck 
 Franz Kessler GmbH ; Franz Kessler GmbH 
 Friedrich-Alexander-Universität Erlangen-Nürnberg ; Friedrich-Alexander-Universität Erlangen-Nürnberg 
 GITTA mbH ; GITTA mbH 
 Helmut-Schmidt-Universität ; Helmut-Schmidt-Universität 
 IHK Bildungshaus der IHK Region Stuttgart ; IHK Bildungshaus der IHK Region Stuttgart 
 Ingenieurgesellschaft für Gebäude-, Flächen- und Chemnitz; Ingenieurgesellschaft für Gebäude-, Flächen- und Chemnitz
 Institut dezentrale Energietechnologien (IdE) gGmbH ; Institut dezentrale Energietechnologien (IdE) gGmbH 
 Institut für angewandte Innovationsforschung (IAI) e.V.; Institut für angewandte Innovationsforschung (IAI) e.V.
 Institut Ingenium GmbH; Institut Ingenium GmbH
 IPRI – International Performance Research Institute gGmbH ; IPRI – International Performance Research Institute gGmbH 
 Leibniz Institut für Agrarentwicklung in Mittel- und Osteuropa ; Leibniz Institut für Agrarentwicklung in Mittel- und Osteuropa 
 Logistik Service Agentur GmbH; Logistik Service Agentur GmbH
 Ludwigs-Maximilians-Universität München; Ludwigs-Maximilians-Universität München
 MAHLE Aftermarket GmbH; MAHLE Aftermarket GmbH
 Sartorius Weighing Technology GmbH ; Sartorius Weighing Technology GmbH 
 systemkonzept GmbH ; systemkonzept GmbH 
 TBS - Technologieberatungsstelle beim DGB Hessen e.V.; TBS - Technologieberatungsstelle beim DGB Hessen e.V.
 Technische Universität Chemnitz ; Technische Universität Chemnitz 
 Technische Universität Dortmund ; Technische Universität Dortmund 
 TST – Trainingscenter für Sicherheit und Transport GmbH M.I.T new media GmbH ; TST – Trainingscenter für Sicherheit und Transport GmbH M.I.T new media GmbH 
 Verein der GAB München e.V. ; Verein der GAB München e.V. 
 Zentralstelle für Berufsbildung im Handel e. V. (zbb) ; Zentralstelle für Berufsbildung im Handel e. V. (zbb) 
Agrarunternehmen Barnstädt;Agrarunternehmen Barnstädt
Albert-Ludwigs-Universität Freiburg ;Albert-Ludwigs-Universität Freiburg 
Alfred Kärcher GmbH & Co. KG;Alfred Kärcher GmbH & Co. KG
alutec metal innovations GmbH & Co. KG;alutec metal innovations GmbH & Co. KG
Audi AG ;Audi AG 
AWO Kreisverband Auerbach/Vogtland e.V. ;AWO Kreisverband Auerbach/Vogtland e.V. 
Bayer Pharma AG ;Bayer Pharma AG 
Bergische Universität Wuppertal;Bergische Universität Wuppertal
Beuth Hochschule für Technik ;Beuth Hochschule für Technik 
Bildungszentrum Kassel (BZK) GmbH;Bildungszentrum Kassel (BZK) GmbH
BITKOM Bundesverband Informationswirtschaft, Telekommunikation Berlin und neue Medien e.V. ;BITKOM Bundesverband Informationswirtschaft, Telekommunikation Berlin und neue Medien e.V. 
BMW AG;BMW AG
CAS Software AG;CAS Software AG
celano GmbH ;celano GmbH 
Center for Performance Research & Analytics (CEPRA);Center for Performance Research & Analytics (CEPRA)
Check24 Services GmbH ;Check24 Services GmbH 
Continental Automotive GmbH (Conti-LO);Continental Automotive GmbH (Conti-LO)
Deutsche Telekom Kundenservice GmbH;Deutsche Telekom Kundenservice GmbH
Dr.-Ing. Paul Christiani GmbH Co. KG ;Dr.-Ing. Paul Christiani GmbH Co. KG 
E.B.M.- Elektro-Bau-Montage GmbH & Co. KG ;E.B.M.- Elektro-Bau-Montage GmbH & Co. KG 
Ernst-Moritz-Arndt-Universität;Ernst-Moritz-Arndt-Universität
EWR AG ;EWR AG 
FAB e.V. Crimmitschau;FAB e.V. Crimmitschau
Festo Lernzentrum Saar GmbH ;Festo Lernzentrum Saar GmbH 
ffw GmbH – Gesellschaft für Personal- und Organisationsentwicklung;ffw GmbH – Gesellschaft für Personal- und Organisationsentwicklung
Fraunhofer-Institut für Arbeitswirtschaft und Organisation;Fraunhofer-Institut für Arbeitswirtschaft und Organisation
Fraunhofer-Institut für Software und Systemtechnik ISST ;Fraunhofer-Institut für Software und Systemtechnik ISST 
Fraunhofer-Institut für System- und Innovationsforschung ISI  ;Fraunhofer-Institut für System- und Innovationsforschung ISI  
Friedr. Freek GmbH ;Friedr. Freek GmbH 
Friedrich-Schiller-Universität ;Friedrich-Schiller-Universität 
Friedrich-Schiller-Universität Jena ;Friedrich-Schiller-Universität Jena 
GALA e. V.;GALA e. V.
GEPRO mbH;GEPRO mbH
Gesellschaft für diakonische Einrichtungen mbH ;Gesellschaft für diakonische Einrichtungen mbH 
Goethe-Universität Frankfurt a. M. ;Goethe-Universität Frankfurt a. M. 
Handwerkskammer Braunschweig-Lüneburg-Stade;Handwerkskammer Braunschweig-Lüneburg-Stade
Haufe-Lexware GmbH & Co. KG ;Haufe-Lexware GmbH & Co. KG 
Häusliche Kranken- und Seniorenpflege Thomas Rehbein;Häusliche Kranken- und Seniorenpflege Thomas Rehbein
Heinrich Huhn GmbH &Co. KG;Heinrich Huhn GmbH &Co. KG
Hella Fahrzeugkomponenten GmBh;Hella Fahrzeugkomponenten GmBh
Hochschule für Technik und Wirtschaft Dresden (HTW-DD) ;Hochschule für Technik und Wirtschaft Dresden (HTW-DD) 
Hochschule Karlsruhe (HsKA) ;Hochschule Karlsruhe (HsKA) 
Hochschule Mittweida ;Hochschule Mittweida 
Hochschule München;Hochschule München
Hochtaunus-Kliniken gemeinnützige GmbH;Hochtaunus-Kliniken gemeinnützige GmbH
HOMAG Holzbearbeitungssysteme GmbH;HOMAG Holzbearbeitungssysteme GmbH
Humboldt-Universität zu Berlin;Humboldt-Universität zu Berlin
IG Metall ;IG Metall 
IHK-Akademie Koblenz e. V. ;IHK-Akademie Koblenz e. V. 
Infoman AG;Infoman AG
Institut für Sozialwissenschaftliche Forschung e.V. – ISF München;Institut für Sozialwissenschaftliche Forschung e.V. – ISF München
Institut für Sozialwissenschaftliche Forschung München e.V.;Institut für Sozialwissenschaftliche Forschung München e.V.
